date,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Aircraft Version,landings,Total Landed Weight
2015-03-01,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,777,-,3,1380000
2015-03-01,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,300,65,20150000
2015-03-01,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,-,59,11682000
2015-03-01,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,737,-,617,88848000
2015-03-01,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,777,300ER,31,17174000
2015-03-01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,900ER,9,1415700
2015-03-01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,900ER,16,2516800
2015-03-01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,900,18,2633400
2015-03-01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,900,21,3072300
2015-03-01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,800,5,720000
2015-03-01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,800,52,7488000
2015-03-01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,700,2,258400
2015-03-01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,700,114,14728800
2015-03-01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,400,19,2299000
2015-03-01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,400,297,35937000
2015-03-01,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,300,26,14352000
2015-03-01,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,200,7,3290000
2015-03-01,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Airbus,A380,800,2,1702260
2015-03-01,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Airbus,A340,300,1,418874
2015-03-01,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,777,300,1,553994
2015-03-01,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,777,200,26,11962600
2015-03-01,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,777,300ER,31,17174000
2015-03-01,Air Cargo Carriers,2Q,Air Cargo Carriers,2Q,Domestic,US,Freighter,Turbo Prop,Shorts,SD3,30,22,572000
2015-03-01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,211,3,514500
2015-03-01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,214,14,1994100
2015-03-01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,211,67,9527400
2015-03-01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,114,96,12912000
2015-03-01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,112,18,2480400
2015-03-01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,767,300,30,9597000
2015-03-01,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A330,300,3,1236792
2015-03-01,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A330,200,15,6012512
2015-03-01,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,-,27,7399000
2015-03-01,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,737,700,89,11392000
2015-02-01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,211,1,171500
2015-02-01,Emirates,EK,Emirates,EK,International,Middle East,Passenger,Wide Body,Airbus,A380,800,28,24321388
2015-02-01,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,231,56,7957600
2015-02-01,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A321,-,302,51793000
2015-02-01,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,-,35,9520000
2015-02-01,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,300,5,1612000
2015-02-01,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A330,200,8,3200208
2015-02-01,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A330,300,8,3298112
2015-02-01,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,737,700,80,10240000
2015-02-01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,767,300,31,9916900
2015-02-01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,112,10,1378000
2015-02-01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,114,81,10894500
2015-02-01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,211,58,8247600
2015-02-01,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,747,400,24,15120000
2015-02-01,Virgin America,VX,Virgin America,VX,International,Mexico,Passenger,Narrow Body,Airbus,A320,-,30,4272554
2015-02-01,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A320,-,967,137760105
2015-02-01,Virgin America,VX,Virgin America,VX,International,Mexico,Passenger,Narrow Body,Airbus,A319,-,1,137789
2015-02-01,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A319,-,205,28246745
2015-02-01,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,232,50,7110000
2015-02-01,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,232,34,4834800
2015-02-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,232,624,88732800
2015-02-01,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,131,5,688500
2015-02-01,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,131,46,6334200
2015-02-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,131,425,58522500
2015-02-01,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,787,900,1,425000
2015-02-01,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,787,800,38,14440000
2015-02-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,787,800,28,10640000
2015-02-01,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,777,222B,28,12880000
2015-02-01,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,777,222B,55,25300000
2015-02-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,777,222B,2,920000
2015-02-01,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,222,27,12420000
2015-02-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,777,222,48,21360000
2015-02-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,400,30,10500000
2015-02-01,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,767,322,20,6400000
2015-02-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,322,32,10240000
2015-02-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,300,226,50624000
2015-02-01,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,757,-,1,198000
2015-02-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,-,475,94050000
2015-02-01,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,747,422,27,17010000
2015-02-01,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,747,422,134,84420000
2015-02-01,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,737,900ER,55,8641500
2015-02-01,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,737,900ER,1,157300
2015-02-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,900,679,106746700
2015-02-01,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,737,800,18,2633400
2015-02-01,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,737,800,4,582900
2015-02-01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,214,11,1564200
2015-02-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,800,806,117568200
2015-02-01,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,737,700,1,129200
2015-02-01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,700,2,258400
2015-02-01,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,-,40,5688000
2015-02-01,Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Airbus,A340,300,28,11728584
2015-02-01,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Passenger,Narrow Body,Boeing,737,800,6,877800
2015-02-01,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,737,800,5,731500
2015-02-01,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,737,700,19,2454800
2015-02-01,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,800,25,3600000
2015-02-01,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,700,644,82432000
2015-02-01,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,500,1,110000
2015-02-01,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,300,385,43890000
2015-02-01,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Embraer,ERJ,175,51,3822807
2015-02-01,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,175,356,26684692
2015-02-01,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Turbo Prop,Embraer,EMB,120,844,21775200
2015-02-01,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,25,1675000
